age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,date
28,Management,Single,Tertiary,No,231,Yes,Yes,Cellular,25,Jul,568,2,-1,0,Unknown,No,2023-07-25
31,Management,Single,Secondary,No,36,No,No,Cellular,27,Aug,105,2,-1,0,Unknown,No,2023-08-27
30,Technician,Married,Tertiary,No,1570,Yes,No,Cellular,26,May,260,1,-1,0,Unknown,No,2023-05-26
35,Technician,Married,Tertiary,No,7050,No,No,Cellular,11,Aug,222,3,182,4,Success,Yes,2023-08-11
33,Blue-Collar,Married,Primary,No,3704,Yes,No,Unknown,6,Jun,447,2,-1,0,Unknown,No,2023-06-06
30,Technician,Single,Tertiary,No,6619,Yes,No,Cellular,21,Aug,239,8,-1,0,Unknown,No,2023-08-21
32,Blue-Collar,Single,Secondary,No,-84,Yes,No,Cellular,11,May,426,1,-1,0,Unknown,No,2023-05-11
40,Management,Single,Tertiary,No,1509,No,No,Cellular,12,May,333,1,58,3,Failure,No,2023-05-12
31,Self-Employed,Married,Tertiary,No,1134,No,No,Cellular,6,Feb,174,2,-1,0,Unknown,No,2023-02-06
36,Technician,Married,Secondary,No,146,Yes,Yes,Unknown,15,May,284,2,-1,0,Unknown,No,2023-05-15
33,Management,Single,Tertiary,No,9449,Yes,No,Cellular,8,May,428,1,-1,0,Unknown,No,2023-05-08
57,Retired,Married,Secondary,No,374,Yes,Yes,Cellular,16,Jul,236,1,-1,0,Unknown,No,2023-07-16
45,Technician,Married,Secondary,No,88,No,No,Cellular,29,Aug,150,2,-1,0,Unknown,No,2023-08-29
59,Management,Married,Tertiary,No,2764,No,No,Cellular,24,Dec,237,1,206,2,Failure,No,2023-12-24
30,Management,Single,Tertiary,No,2,Yes,Yes,Cellular,25,Jul,1031,8,-1,0,Unknown,Yes,2023-07-25
33,Technician,Married,Tertiary,No,8023,No,No,Cellular,30,Nov,107,1,105,3,Failure,No,2023-11-30
52,Blue-Collar,Married,Secondary,No,289,Yes,No,Unknown,21,May,45,13,-1,0,Unknown,No,2023-05-21
83,Retired,Married,Secondary,No,0,No,No,Cellular,18,Mar,140,10,-1,0,Unknown,No,2023-03-18
58,Self-Employed,Divorced,Tertiary,No,1382,No,No,Unknown,9,Jun,700,1,-1,0,Unknown,Yes,2023-06-09
33,Management,Divorced,Tertiary,Yes,280,No,Yes,Cellular,18,Nov,155,1,-1,0,Unknown,No,2023-11-18
41,Blue-Collar,Divorced,Primary,No,2195,Yes,No,Unknown,3,Jun,211,5,-1,0,Unknown,No,2023-06-03
31,Self-Employed,Married,Secondary,No,33,No,No,Cellular,6,Aug,165,4,-1,0,Unknown,No,2023-08-06
35,Blue-Collar,Divorced,Secondary,No,275,No,Yes,Cellular,10,Jul,144,5,-1,0,Unknown,No,2023-07-10
27,Management,Single,Tertiary,No,703,Yes,No,Unknown,5,Jun,590,3,-1,0,Unknown,Yes,2023-06-05
57,Admin.,Divorced,Unknown,No,887,No,No,Unknown,20,Jun,43,8,-1,0,Unknown,No,2023-06-20
56,Unknown,Married,Unknown,No,0,No,No,Unknown,20,Jun,471,2,-1,0,Unknown,No,2023-06-20
53,Admin.,Single,Secondary,No,1178,Yes,No,Unknown,15,May,295,2,-1,0,Unknown,No,2023-05-15
39,Management,Married,Tertiary,No,2763,Yes,No,Unknown,2,Jun,526,2,-1,0,Unknown,Yes,2023-06-02
32,Entrepreneur,Single,Tertiary,No,890,Yes,Yes,Cellular,28,Aug,27,10,-1,0,Unknown,No,2023-08-28
46,Self-Employed,Married,Secondary,No,548,No,No,Cellular,12,Aug,1181,4,-1,0,Unknown,Yes,2023-08-12
56,Technician,Married,Tertiary,No,272,No,No,Cellular,26,Aug,103,2,-1,0,Unknown,No,2023-08-26
46,Management,Divorced,Tertiary,No,6269,Yes,No,Telephone,18,Nov,249,3,112,2,Failure,No,2023-11-18
29,Entrepreneur,Married,Secondary,No,178,Yes,No,Cellular,5,May,231,4,-1,0,Unknown,No,2023-05-05
60,Management,Married,Primary,No,252,Yes,Yes,Cellular,13,Apr,123,2,147,3,Failure,No,2023-04-13
33,Housemaid,Single,Tertiary,No,23663,Yes,No,Cellular,16,Apr,199,2,146,2,Failure,No,2023-04-16
27,Entrepreneur,Single,Tertiary,No,81,No,No,Cellular,5,Feb,197,1,199,3,Failure,No,2023-02-05
50,Self-Employed,Divorced,Tertiary,No,59,Yes,No,Unknown,28,May,67,2,-1,0,Unknown,No,2023-05-28
45,Services,Married,Secondary,No,1343,No,Yes,Cellular,8,Jul,220,1,-1,0,Unknown,No,2023-07-08
58,Retired,Married,Secondary,No,225,No,No,Cellular,7,Aug,122,6,-1,0,Unknown,No,2023-08-07
59,Retired,Married,Primary,No,0,Yes,No,Unknown,26,May,104,7,-1,0,Unknown,No,2023-05-26
58,Retired,Divorced,Primary,No,2538,Yes,No,Cellular,31,Jul,307,6,-1,0,Unknown,No,2023-07-31
64,Retired,Married,Primary,No,43,No,No,Cellular,11,Mar,117,1,91,1,Success,No,2023-03-11
47,Technician,Married,Secondary,No,57,No,No,Cellular,5,May,253,1,342,1,Success,No,2023-05-05
40,Management,Married,Tertiary,No,-117,Yes,No,Cellular,17,Jul,770,2,-1,0,Unknown,No,2023-07-17
36,Technician,Divorced,Secondary,No,666,Yes,Yes,Cellular,3,Apr,190,1,133,1,Other,No,2023-04-03
28,Management,Single,Tertiary,No,0,Yes,No,Cellular,16,Jul,767,5,-1,0,Unknown,Yes,2023-07-16
38,Technician,Single,Tertiary,No,25,Yes,No,Cellular,1,Jun,232,2,-1,0,Unknown,Yes,2023-06-01
53,Entrepreneur,Married,Primary,No,1034,Yes,No,Cellular,19,Nov,854,2,170,3,Other,No,2023-11-19
46,Blue-Collar,Single,Secondary,No,324,Yes,No,Unknown,30,May,293,6,-1,0,Unknown,No,2023-05-30
54,Technician,Married,Secondary,No,0,No,No,Telephone,16,Nov,986,1,94,8,Failure,No,2023-11-16
32,Management,Married,Tertiary,No,0,No,No,Cellular,19,Nov,66,1,-1,0,Unknown,No,2023-11-19
55,Management,Married,Primary,No,621,No,Yes,Cellular,2,Feb,114,1,208,1,Failure,No,2023-02-02
55,Retired,Divorced,Secondary,No,138,No,No,Cellular,17,Jul,205,1,-1,0,Unknown,No,2023-07-17
56,Technician,Married,Secondary,No,4063,No,Yes,Telephone,28,Jul,31,4,-1,0,Unknown,No,2023-07-28
40,Blue-Collar,Married,Secondary,No,11084,No,No,Unknown,11,Jun,113,1,-1,0,Unknown,No,2023-06-11
44,Technician,Married,Secondary,No,310,Yes,No,Cellular,6,Feb,200,1,253,1,Failure,No,2023-02-06
32,Entrepreneur,Married,Unknown,No,73,Yes,No,Cellular,21,Nov,158,1,135,1,Failure,No,2023-11-21
33,Management,Married,Tertiary,No,1808,Yes,No,Unknown,4,Jun,99,4,-1,0,Unknown,No,2023-06-04
41,Unemployed,Divorced,Secondary,No,1281,No,No,Cellular,31,Jul,45,3,-1,0,Unknown,No,2023-07-31
37,Technician,Married,Secondary,No,64,Yes,No,Cellular,12,May,239,4,278,2,Other,No,2023-05-12
58,Management,Single,Tertiary,No,2,Yes,No,Telephone,11,May,168,3,-1,0,Unknown,No,2023-05-11
52,Blue-Collar,Married,Secondary,No,60,No,Yes,Cellular,26,Aug,196,2,-1,0,Unknown,No,2023-08-26
49,Services,Single,Secondary,No,133,No,No,Unknown,11,Jun,319,6,-1,0,Unknown,No,2023-06-11
44,Housemaid,Married,Primary,No,3706,No,No,Unknown,17,Jun,209,3,-1,0,Unknown,No,2023-06-17
28,Admin.,Single,Unknown,No,174,No,No,Cellular,28,Sep,184,1,-1,0,Unknown,No,2023-09-28
31,Technician,Married,Secondary,No,251,No,Yes,Cellular,29,Aug,156,2,-1,0,Unknown,No,2023-08-29
37,Self-Employed,Married,Secondary,No,4153,Yes,No,Cellular,31,Jul,35,16,-1,0,Unknown,No,2023-07-31
30,Technician,Single,Tertiary,No,985,Yes,No,Cellular,19,Feb,88,2,-1,0,Unknown,No,2023-02-19
28,Services,Single,Secondary,No,168,No,No,Cellular,1,Jun,347,3,140,2,Success,Yes,2023-06-01
46,Services,Married,Secondary,No,1550,Yes,No,Cellular,16,Apr,126,2,149,8,Failure,No,2023-04-16
47,Management,Married,Tertiary,No,7708,Yes,No,Cellular,21,Nov,157,5,-1,0,Unknown,No,2023-11-21
35,Blue-Collar,Married,Primary,No,-12,Yes,No,Unknown,12,May,212,5,-1,0,Unknown,No,2023-05-12
80,Management,Married,Primary,No,6483,No,No,Telephone,19,Oct,123,1,-1,0,Unknown,No,2023-10-19
30,Technician,Single,Tertiary,No,60,Yes,Yes,Unknown,7,May,306,5,-1,0,Unknown,No,2023-05-07
55,Technician,Single,Secondary,No,3339,Yes,No,Unknown,2,Jun,63,1,-1,0,Unknown,No,2023-06-02
22,Student,Single,Tertiary,No,1161,No,Yes,Cellular,16,Jun,119,1,-1,0,Unknown,No,2023-06-16
33,Blue-Collar,Single,Primary,No,599,Yes,No,Unknown,21,May,29,1,-1,0,Unknown,No,2023-05-21
53,Entrepreneur,Married,Unknown,No,28,No,No,Cellular,31,Jul,117,2,-1,0,Unknown,No,2023-07-31
49,Management,Married,Tertiary,No,1430,No,No,Cellular,18,Nov,231,2,-1,0,Unknown,No,2023-11-18
51,Retired,Married,Secondary,No,35,No,Yes,Cellular,8,Jul,123,4,-1,0,Unknown,No,2023-07-08
41,Self-Employed,Married,Tertiary,No,6000,Yes,No,Cellular,18,Nov,265,1,-1,0,Unknown,No,2023-11-18
34,Technician,Married,Secondary,No,0,Yes,No,Cellular,15,Jul,144,1,-1,0,Unknown,No,2023-07-15
36,Blue-Collar,Single,Secondary,No,340,No,Yes,Unknown,16,Jun,559,3,-1,0,Unknown,No,2023-06-16
35,Entrepreneur,Married,Tertiary,No,0,No,No,Cellular,5,May,74,1,168,4,Failure,No,2023-05-05
29,Services,Married,Secondary,No,3,Yes,No,Cellular,10,Jul,183,1,-1,0,Unknown,No,2023-07-10
40,Technician,Single,Tertiary,No,445,Yes,No,Cellular,24,Jul,631,1,-1,0,Unknown,No,2023-07-24
32,Management,Divorced,Tertiary,No,874,No,No,Cellular,12,Aug,1282,6,-1,0,Unknown,Yes,2023-08-12
48,Blue-Collar,Married,Secondary,No,705,No,No,Unknown,13,May,108,2,-1,0,Unknown,No,2023-05-13
59,Retired,Married,Unknown,No,1033,No,No,Unknown,11,Jun,1199,1,-1,0,Unknown,Yes,2023-06-11
35,Self-Employed,Divorced,Tertiary,No,1354,Yes,No,Unknown,23,May,736,2,-1,0,Unknown,Yes,2023-05-23
33,Technician,Single,Tertiary,No,123,No,No,Cellular,19,Aug,264,1,-1,0,Unknown,No,2023-08-19
55,Retired,Married,Primary,No,8894,No,No,Unknown,11,Jun,262,1,-1,0,Unknown,No,2023-06-11
41,Blue-Collar,Married,Secondary,No,429,Yes,No,Unknown,13,May,244,1,-1,0,Unknown,No,2023-05-13
42,Housemaid,Married,Primary,No,14752,No,No,Unknown,19,May,107,2,-1,0,Unknown,No,2023-05-19
46,Blue-Collar,Married,Primary,No,67,No,No,Unknown,24,Jun,9,1,-1,0,Unknown,No,2023-06-24
35,Housemaid,Divorced,Secondary,No,39,No,No,Cellular,31,Jul,149,2,-1,0,Unknown,No,2023-07-31
28,Technician,Single,Tertiary,No,102,No,No,Cellular,28,Jan,321,2,-1,0,Unknown,No,2023-01-28
25,Student,Single,Secondary,No,1790,No,No,Cellular,17,Apr,224,1,322,3,Failure,No,2023-04-17
56,Management,Single,Tertiary,No,15311,No,No,Cellular,29,Apr,157,6,-1,0,Unknown,No,2023-04-29
30,Admin.,Single,Secondary,No,-635,No,No,Cellular,25,Jul,250,1,-1,0,Unknown,No,2023-07-25
45,Blue-Collar,Married,Secondary,No,115,No,No,Cellular,11,Aug,209,4,-1,0,Unknown,No,2023-08-11
40,Management,Married,Tertiary,No,10786,No,No,Unknown,20,Jun,111,3,-1,0,Unknown,No,2023-06-20
40,Blue-Collar,Married,Secondary,No,498,Yes,No,Cellular,8,May,55,2,298,4,Failure,No,2023-05-08
39,Blue-Collar,Married,Secondary,No,1045,Yes,Yes,Cellular,9,Jul,290,13,-1,0,Unknown,No,2023-07-09
48,Entrepreneur,Married,Tertiary,No,810,No,No,Unknown,6,Jun,383,1,-1,0,Unknown,No,2023-06-06
31,Technician,Single,Tertiary,No,-162,Yes,No,Cellular,18,May,380,1,-1,0,Unknown,No,2023-05-18
32,Management,Married,Tertiary,No,55,No,No,Cellular,2,Feb,124,3,-1,0,Unknown,No,2023-02-02
34,Services,Married,Secondary,No,586,Yes,Yes,Unknown,8,May,224,2,-1,0,Unknown,No,2023-05-08
26,Technician,Single,Secondary,No,455,No,No,Cellular,29,Jan,240,1,182,8,Other,No,2023-01-29
31,Management,Married,Tertiary,No,1010,Yes,No,Cellular,15,May,385,3,364,9,Other,No,2023-05-15
37,Management,Single,Tertiary,No,509,Yes,No,Cellular,6,May,133,1,-1,0,Unknown,No,2023-05-06
29,Student,Single,Unknown,No,2929,No,No,Cellular,11,Aug,91,1,-1,0,Unknown,No,2023-08-11
57,Technician,Married,Secondary,No,3071,Yes,Yes,Cellular,7,May,63,3,-1,0,Unknown,No,2023-05-07
47,Management,Single,Tertiary,No,153,Yes,No,Cellular,18,Nov,192,2,-1,0,Unknown,No,2023-11-18
38,Self-Employed,Single,Secondary,No,1146,Yes,No,Unknown,21,May,91,2,-1,0,Unknown,No,2023-05-21
48,Blue-Collar,Married,Primary,No,1092,No,Yes,Cellular,18,Nov,79,1,172,8,Failure,No,2023-11-18
50,Management,Married,Tertiary,No,3463,No,Yes,Cellular,28,Oct,96,1,-1,0,Unknown,Yes,2023-10-28
33,Admin.,Married,Secondary,No,1158,Yes,No,Cellular,20,Apr,25,2,-1,0,Unknown,No,2023-04-20
28,Admin.,Single,Secondary,No,26,Yes,No,Cellular,7,May,227,2,-1,0,Unknown,No,2023-05-07
30,Services,Single,Secondary,No,566,No,No,Cellular,5,Feb,110,1,-1,0,Unknown,No,2023-02-05
52,Technician,Divorced,Secondary,No,204,No,No,Cellular,7,Aug,134,2,-1,0,Unknown,No,2023-08-07
36,Technician,Married,Secondary,No,480,No,No,Cellular,20,Oct,213,1,-1,0,Unknown,Yes,2023-10-20
36,Technician,Single,Secondary,No,1855,Yes,No,Cellular,4,Feb,75,1,273,1,Failure,No,2023-02-04
46,Services,Married,Secondary,No,1034,No,No,Cellular,8,Aug,109,2,-1,0,Unknown,No,2023-08-08
57,Management,Married,Tertiary,No,3250,No,No,Cellular,20,Aug,162,3,-1,0,Unknown,No,2023-08-20
28,Management,Single,Secondary,No,1633,No,No,Cellular,5,Jun,275,1,-1,0,Unknown,Yes,2023-06-05
46,Services,Married,Secondary,No,0,Yes,No,Cellular,22,Jun,154,1,124,1,Other,No,2023-06-22
55,Retired,Married,Primary,No,3334,No,No,Cellular,14,Aug,632,4,-1,0,Unknown,Yes,2023-08-14
33,Management,Married,Tertiary,No,4020,Yes,Yes,Cellular,15,Apr,251,1,-1,0,Unknown,No,2023-04-15
53,Management,Married,Secondary,No,66,No,Yes,Telephone,8,Jul,141,1,-1,0,Unknown,No,2023-07-08
41,Technician,Single,Secondary,No,-41,Yes,Yes,Cellular,3,Apr,154,1,-1,0,Unknown,No,2023-04-03
60,Blue-Collar,Married,Secondary,No,322,Yes,No,Cellular,7,May,63,1,-1,0,Unknown,No,2023-05-07
35,Entrepreneur,Married,Primary,No,2643,No,Yes,Cellular,8,Jul,259,1,-1,0,Unknown,No,2023-07-08
43,Blue-Collar,Divorced,Primary,No,49,Yes,No,Unknown,9,May,100,1,-1,0,Unknown,No,2023-05-09
57,Admin.,Divorced,Primary,No,1,No,No,Unknown,15,May,17,10,-1,0,Unknown,No,2023-05-15
46,Admin.,Married,Secondary,No,3098,Yes,No,Telephone,21,Nov,192,9,-1,0,Unknown,No,2023-11-21
31,Blue-Collar,Married,Primary,No,352,Yes,No,Unknown,19,May,97,9,-1,0,Unknown,No,2023-05-19
53,Technician,Married,Secondary,No,65,No,No,Cellular,25,Aug,41,2,-1,0,Unknown,No,2023-08-25
35,Blue-Collar,Married,Secondary,No,1949,Yes,No,Unknown,2,Jun,200,3,-1,0,Unknown,No,2023-06-02
32,Admin.,Single,Secondary,No,739,Yes,No,Cellular,20,Nov,91,3,-1,0,Unknown,No,2023-11-20
48,Management,Married,Tertiary,No,1167,Yes,Yes,Cellular,1,Jun,264,1,-1,0,Unknown,Yes,2023-06-01
50,Admin.,Married,Secondary,No,231,Yes,No,Cellular,21,Nov,397,2,-1,0,Unknown,No,2023-11-21
40,Blue-Collar,Married,Primary,No,1136,Yes,No,Unknown,21,May,86,1,-1,0,Unknown,No,2023-05-21
42,Entrepreneur,Married,Tertiary,No,233,No,No,Cellular,5,Feb,446,1,-1,0,Unknown,No,2023-02-05
59,Admin.,Married,Secondary,No,817,No,No,Cellular,9,Apr,304,1,-1,0,Unknown,No,2023-04-09
27,Blue-Collar,Single,Primary,No,1128,Yes,No,Unknown,30,Jun,88,4,-1,0,Unknown,No,2023-06-30
32,Management,Single,Tertiary,No,1831,Yes,No,Cellular,20,Apr,86,2,-1,0,Unknown,No,2023-04-20
35,Technician,Single,Secondary,No,450,Yes,No,Cellular,13,May,63,1,-1,0,Unknown,No,2023-05-13
28,Services,Married,Secondary,No,0,Yes,No,Cellular,5,May,335,2,281,8,Failure,No,2023-05-05
37,Management,Divorced,Secondary,No,414,No,No,Cellular,29,Jan,293,2,162,4,Failure,No,2023-01-29
57,Management,Married,Primary,No,1052,Yes,No,Unknown,13,May,227,4,-1,0,Unknown,No,2023-05-13
42,Admin.,Single,Secondary,No,1022,Yes,No,Unknown,5,May,146,2,-1,0,Unknown,No,2023-05-05
55,Admin.,Married,Primary,No,343,Yes,No,Cellular,14,Jul,276,3,-1,0,Unknown,No,2023-07-14
52,Management,Married,Tertiary,No,1944,Yes,No,Cellular,15,Apr,238,3,323,2,Failure,No,2023-04-15
26,Blue-Collar,Single,Secondary,No,-32,Yes,Yes,Cellular,31,Jul,14,6,-1,0,Unknown,No,2023-07-31
52,Technician,Married,Secondary,No,1781,Yes,No,Unknown,19,May,144,2,-1,0,Unknown,No,2023-05-19
26,Management,Single,Tertiary,No,350,No,No,Cellular,8,Jul,367,1,-1,0,Unknown,No,2023-07-08
33,Unemployed,Married,Secondary,No,2,Yes,No,Cellular,16,Jul,132,1,-1,0,Unknown,No,2023-07-16
24,Blue-Collar,Single,Primary,No,111,Yes,Yes,Unknown,27,May,42,4,-1,0,Unknown,No,2023-05-27
37,Management,Divorced,Tertiary,No,168,Yes,No,Unknown,5,Jun,227,1,-1,0,Unknown,No,2023-06-05
28,Technician,Single,Secondary,No,3,No,No,Telephone,18,May,40,8,349,6,Failure,No,2023-05-18
30,Technician,Single,Secondary,No,102,Yes,No,Unknown,7,May,614,2,-1,0,Unknown,No,2023-05-07
33,Blue-Collar,Married,Primary,No,0,Yes,No,Unknown,15,May,270,1,-1,0,Unknown,No,2023-05-15
55,Unknown,Married,Primary,No,159,No,No,Unknown,4,Sep,15,1,-1,0,Unknown,No,2023-09-04
33,Blue-Collar,Married,Secondary,No,1134,Yes,No,Unknown,23,May,304,2,-1,0,Unknown,No,2023-05-23
42,Blue-Collar,Married,Secondary,No,352,Yes,No,Cellular,11,May,79,3,-1,0,Unknown,No,2023-05-11
37,Management,Married,Tertiary,No,865,Yes,No,Cellular,3,Jun,101,1,-1,0,Unknown,No,2023-06-03
59,Blue-Collar,Married,Primary,No,179,Yes,No,Unknown,5,May,55,3,-1,0,Unknown,No,2023-05-05
27,Blue-Collar,Single,Secondary,No,5,Yes,No,Unknown,19,May,205,3,-1,0,Unknown,No,2023-05-19
23,Student,Married,Tertiary,Yes,-230,Yes,No,Cellular,18,May,259,2,-1,0,Unknown,No,2023-05-18
51,Management,Divorced,Tertiary,No,0,No,No,Cellular,13,Aug,60,2,-1,0,Unknown,No,2023-08-13
50,Blue-Collar,Married,Primary,No,3924,Yes,No,Cellular,20,Apr,122,2,-1,0,Unknown,No,2023-04-20
43,Technician,Married,Secondary,No,764,Yes,No,Cellular,14,Jul,557,5,-1,0,Unknown,No,2023-07-14
37,Blue-Collar,Divorced,Primary,No,511,Yes,No,Telephone,11,May,42,1,-1,0,Unknown,No,2023-05-11
34,Management,Single,Tertiary,No,4348,Yes,No,Cellular,28,Aug,373,8,-1,0,Unknown,No,2023-08-28
41,Management,Married,Tertiary,No,3016,Yes,No,Cellular,14,Jul,80,3,-1,0,Unknown,No,2023-07-14
26,Student,Single,Secondary,No,279,No,No,Cellular,7,May,239,3,-1,0,Unknown,No,2023-05-07
49,Management,Divorced,Tertiary,No,1405,No,No,Unknown,8,Jun,29,1,-1,0,Unknown,No,2023-06-08
29,Blue-Collar,Single,Secondary,No,908,Yes,No,Unknown,20,Jun,1663,1,-1,0,Unknown,Yes,2023-06-20
30,Management,Single,Tertiary,No,162,Yes,No,Unknown,20,May,186,4,-1,0,Unknown,No,2023-05-20
38,Services,Divorced,Secondary,No,792,No,No,Unknown,6,Jun,430,1,-1,0,Unknown,No,2023-06-06
58,Management,Married,Secondary,No,111,No,No,Telephone,24,Mar,58,2,-1,0,Unknown,No,2023-03-24
34,Student,Single,Unknown,No,1281,No,No,Cellular,25,Aug,279,1,117,1,Failure,No,2023-08-25
53,Services,Divorced,Unknown,No,1012,Yes,No,Cellular,28,Jul,332,2,-1,0,Unknown,No,2023-07-28
50,Management,Married,Tertiary,No,2881,No,No,Cellular,5,Aug,510,2,2,5,Other,No,2023-08-05
30,Blue-Collar,Single,Secondary,No,445,Yes,No,Cellular,16,Apr,218,1,330,2,Failure,No,2023-04-16
40,Management,Married,Secondary,No,643,Yes,No,Cellular,17,Apr,74,2,256,1,Failure,No,2023-04-17
57,Housemaid,Single,Secondary,No,254,No,No,Cellular,8,Oct,676,1,-1,0,Unknown,No,2023-10-08
40,Management,Married,Tertiary,No,-1212,Yes,No,Cellular,15,May,1259,2,333,18,Failure,No,2023-05-15
41,Technician,Married,Secondary,No,2125,Yes,Yes,Cellular,21,Nov,285,3,116,4,Failure,No,2023-11-21
53,Technician,Divorced,Unknown,No,629,Yes,No,Cellular,8,May,298,1,-1,0,Unknown,No,2023-05-08
48,Blue-Collar,Married,Secondary,No,-202,Yes,Yes,Cellular,30,Jul,225,4,-1,0,Unknown,No,2023-07-30
32,Technician,Single,Secondary,No,271,Yes,No,Cellular,13,May,80,2,268,2,Other,No,2023-05-13
34,Management,Married,Tertiary,No,703,Yes,No,Cellular,14,Apr,342,1,-1,0,Unknown,Yes,2023-04-14
46,Blue-Collar,Married,Secondary,No,-216,Yes,No,Cellular,28,Jul,404,3,-1,0,Unknown,No,2023-07-28
45,Services,Divorced,Secondary,No,88,No,Yes,Cellular,7,Jul,332,1,-1,0,Unknown,No,2023-07-07
51,Admin.,Single,Tertiary,No,16,Yes,No,Cellular,30,Jan,158,1,-1,0,Unknown,No,2023-01-30
31,Management,Married,Secondary,No,466,Yes,No,Cellular,14,May,164,1,-1,0,Unknown,No,2023-05-14
47,Technician,Married,Secondary,No,-75,Yes,No,Cellular,4,Feb,57,1,247,1,Other,No,2023-02-04
32,Blue-Collar,Married,Secondary,No,456,No,No,Cellular,12,May,121,1,-1,0,Unknown,No,2023-05-12
41,Technician,Married,Secondary,No,77,Yes,No,Cellular,7,May,56,1,-1,0,Unknown,No,2023-05-07
37,Services,Single,Secondary,No,-244,No,No,Unknown,3,Jul,178,1,-1,0,Unknown,No,2023-07-03
27,Blue-Collar,Single,Primary,No,1209,No,No,Cellular,29,Jan,283,1,-1,0,Unknown,No,2023-01-29
27,Services,Married,Secondary,No,58,Yes,No,Cellular,7,May,113,1,337,2,Other,No,2023-05-07
50,Management,Married,Secondary,Yes,421,No,No,Cellular,20,Nov,22,5,-1,0,Unknown,No,2023-11-20
31,Management,Single,Tertiary,No,112,Yes,No,Cellular,2,Feb,159,2,271,1,Failure,No,2023-02-02
40,Self-Employed,Married,Tertiary,No,13669,No,No,Cellular,15,Oct,138,1,136,8,Other,No,2023-10-15
43,Management,Married,Tertiary,No,1429,Yes,No,Cellular,19,Nov,1015,1,198,2,Other,Yes,2023-11-19
39,Technician,Married,Tertiary,No,794,No,No,Telephone,2,Feb,182,1,-1,0,Unknown,No,2023-02-02
31,Entrepreneur,Single,Tertiary,No,1957,No,No,Cellular,4,Feb,112,3,-1,0,Unknown,No,2023-02-04
48,Technician,Married,Secondary,No,454,Yes,No,Cellular,10,Jul,114,1,-1,0,Unknown,No,2023-07-10
32,Blue-Collar,Single,Primary,No,882,No,Yes,Cellular,29,Jul,80,8,-1,0,Unknown,No,2023-07-29
47,Unemployed,Married,Primary,No,168,Yes,No,Telephone,30,Jan,66,1,241,1,Other,No,2023-01-30
35,Management,Single,Tertiary,No,714,Yes,No,Cellular,26,Aug,135,22,-1,0,Unknown,No,2023-08-26
42,Management,Single,Tertiary,No,0,No,No,Cellular,7,Sep,99,1,-1,0,Unknown,No,2023-09-07
47,Blue-Collar,Married,Secondary,No,1996,No,No,Unknown,5,Jun,761,2,-1,0,Unknown,Yes,2023-06-05
59,Retired,Married,Secondary,No,163,No,No,Cellular,24,Jul,464,1,-1,0,Unknown,No,2023-07-24
38,Admin.,Married,Secondary,No,3190,Yes,No,Unknown,20,Jun,20,2,-1,0,Unknown,No,2023-06-20
50,Unemployed,Married,Secondary,No,1772,No,No,Cellular,29,Jul,206,4,-1,0,Unknown,No,2023-07-29
27,Services,Single,Secondary,No,-151,No,No,Cellular,8,Jul,283,2,-1,0,Unknown,No,2023-07-08
55,Housemaid,Married,Primary,No,16,No,No,Unknown,20,Jun,64,1,-1,0,Unknown,No,2023-06-20
39,Services,Single,Secondary,No,7066,Yes,No,Cellular,15,May,667,3,357,3,Other,Yes,2023-05-15
31,Technician,Single,Tertiary,No,454,No,No,Cellular,4,Feb,73,3,-1,0,Unknown,No,2023-02-04
37,Entrepreneur,Married,Tertiary,No,4798,Yes,No,Unknown,20,May,156,2,-1,0,Unknown,No,2023-05-20
28,Technician,Single,Secondary,Yes,-298,Yes,No,Unknown,3,Jun,559,7,-1,0,Unknown,No,2023-06-03
42,Technician,Married,Secondary,No,439,No,No,Cellular,20,Aug,143,2,-1,0,Unknown,No,2023-08-20
40,Services,Divorced,Secondary,No,1927,Yes,No,Unknown,15,May,62,1,-1,0,Unknown,No,2023-05-15
59,Management,Single,Secondary,No,671,Yes,Yes,Cellular,29,Jan,219,2,259,5,Failure,No,2023-01-29
40,Services,Single,Secondary,No,65,Yes,No,Cellular,15,May,15,3,-1,0,Unknown,No,2023-05-15
43,Technician,Married,Secondary,No,-932,Yes,No,Cellular,16,Apr,567,1,-1,0,Unknown,No,2023-04-16
38,Technician,Single,Secondary,No,4366,Yes,No,Cellular,29,Jul,188,2,-1,0,Unknown,No,2023-07-29
54,Retired,Married,Primary,No,0,Yes,No,Cellular,11,Jul,159,2,-1,0,Unknown,No,2023-07-11
41,Blue-Collar,Married,Secondary,No,4900,Yes,No,Telephone,31,Jul,121,2,-1,0,Unknown,No,2023-07-31
55,Housemaid,Divorced,Primary,No,976,No,No,Cellular,28,Jun,345,1,94,3,Other,Yes,2023-06-28
33,Management,Married,Tertiary,No,148,No,No,Unknown,20,May,717,1,-1,0,Unknown,No,2023-05-20
46,Blue-Collar,Married,Secondary,No,5,No,No,Cellular,18,Aug,71,3,-1,0,Unknown,No,2023-08-18
36,Management,Married,Secondary,No,-148,No,No,Cellular,18,Nov,144,2,-1,0,Unknown,No,2023-11-18
48,Technician,Divorced,Tertiary,No,113,No,Yes,Cellular,22,Jul,38,1,-1,0,Unknown,No,2023-07-22
42,Management,Married,Secondary,No,-105,Yes,No,Cellular,28,Aug,60,2,-1,0,Unknown,No,2023-08-28
